Januray,12,,,,,,,,,,,,,,,,,,,,,,,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease,
,,,,,,,,,,,,,,,,,,,,,,,,,,879936,711438,,0,7342121,76079,440413,288410,,,,0,7342121,76079
,,,,,,,,,,,,,,,,,,,,,,,,,,874204,708349,,0,7266042,74269,436479,279869,,,,0,7266042,74269
,,,,,,,,,,,,,,,,,,,,,,,,,,867785,705189,,0,7191773,21033,435831,271104,,,,0,7191773,21033
,,,,,,,,,,,,,,,,,,,,,,,,,,865350,703662,,0,7170740,33839,434254,268770,,,,0,7170740,33839
,,,,,,,,,,,,,,,,,,,,,,,,,,861853,701583,,0,7136901,61495,432509,266444,,,,0,7136901,61495
,,,,,,,,,,,,,,,,,,,,,,,,,,856947,698481,,0,7075406,65212,429145,260712,,,,0,7075406,65212
,,,,,,,,,,,,,,,,,,,,,,,,,,852037,695194,,0,7010194,68542,427731,252857,,,,0,7010194,68542
,,,,,,,,,,,,,,,,,,,,,,,,,,847282,692123,,0,6941652,68904,422880,246334,,,,0,6941652,68904
,,,,,,,,,,,,,,,,,,,,,,,,,,843046,687277,,0,6872748,69861,421087,238557,,,,0,6872748,69861
,,,,,,,,,,,,,,,,,,,,,,,,,,838058,683700,,0,6802887,20124,420372,229474,,,,0,6802887,20124
,,,,,,,,,,,,,,,,,,,,,,,,,,836145,680083,,0,6782763,27608,419197,227559,,,,0,6782763,27608
,,,,,,,,,,,,,,,,,,,,,,,,,,833768,677244,,0,6755155,56057,417575,225667,,,,0,6755155,56057
,,,,,,,,,,,,,,,,,,,,,,,,,,830093,672144,,0,6699098,50306,415228,221296,,,,0,6699098,50306
,,,,,,,,,,,,,,,,,,,,,,,,,,826741,668515,,0,6648792,49963,413627,214223,,,,0,6648792,49963
,,,,,,,,,,,,,,,,,,,,,,,,,,823305,664883,,0,6598829,54244,412969,209959,,,,0,6598829,54244
,,,,,,,,,,,,,,,,,,,,,,,,,,820161,661038,,0,6544585,57998,411712,202842,,,,0,6544585,57998
,,,,,,,,,,,,,,,,,,,,,,,,,,816290,657407,,0,6486587,16459,411266,194502,,,,0,6486587,16459
,,,,,,,,,,,,,,,,,,,,,,,,,,814979,652376,,0,6470128,23858,400882,192591,,,,0,6470128,23858
